,X,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,SI,GHSI,WGI,ï..iso_code,continent,Obesity_rate,Vaccinationph2,Count
603,725,Argentina,1,NA,NA,NA,11.198,16.177,0.002833333,18933.907,NA,NA,58.6,0.57,ARG,South America,28.3,0,0
6490,6614,Estonia,1,NA,NA,NA,19.452,31.033,NA,29481.252,NA,NA,57,1.21,EST,Europe,21.2,0,0
11175,11294,Latvia,1,NA,NA,NA,19.754,31.212,NA,25063.846,NA,NA,62.9,0.81,LVA,Europe,23.6,0,0
12962,13014,Mexico,1,NA,NA,NA,6.857,66.444,0.001666667,17336.469,NA,NA,57.6,-0.01,MEX,North America,28.9,0,0
20338,20351,Thailand,1,NA,NA,NA,11.373,135.132,0,16277.671,NA,NA,73.2,-1.01,THA,Asia,10,0,0
604,655,Argentina,2,NA,NA,NA,11.198,16.177,0.007428571,18933.907,NA,NA,58.6,0.57,ARG,South America,28.3,0,0
12963,13084,Mexico,2,NA,NA,NA,6.857,66.444,0.008857143,17336.469,NA,NA,57.6,-0.01,MEX,North America,28.9,0,0
20339,20495,Thailand,2,NA,NA,NA,11.373,135.132,0.000666667,16277.671,NA,NA,73.2,-1.01,THA,Asia,10,0,0
605,693,Argentina,3,NA,NA,NA,11.198,16.177,0.011,18933.907,NA,NA,58.6,0.57,ARG,South America,28.3,0,0
6491,6543,Estonia,3,NA,NA,NA,19.452,31.033,NA,29481.252,NA,NA,57,1.21,EST,Europe,21.2,0,0
11176,11268,Latvia,3,NA,NA,NA,19.754,31.212,NA,25063.846,NA,NA,62.9,0.81,LVA,Europe,23.6,0,0
12964,13012,Mexico,3,NA,NA,NA,6.857,66.444,0.018857143,17336.469,NA,NA,57.6,-0.01,MEX,North America,28.9,0,0
19890,19983,Taiwan,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.98,TWN,Asia,NA,0,0
20340,20393,Thailand,3,NA,NA,NA,11.373,135.132,0.001428571,16277.671,NA,NA,73.2,-1.01,THA,Asia,10,0,0
606,663,Argentina,4,NA,NA,NA,11.198,16.177,0.012,18933.907,NA,9.258333333,58.6,0.57,ARG,South America,28.3,0,0
917,1051,Australia,4,NA,0.172,2.5,15.504,3.202,NA,44648.71,NA,5.56,75.5,1.43,AUS,Oceania,20.1,0,0
3173,3272,Cambodia,4,NA,0.06,1,4.412,90.672,NA,3645.07,NA,0,39.2,-1.22, , ,3.9,0,0
3479,3582,Canada,4,NA,0.0728,0.6,16.984,4.037,NA,44017.591,NA,2.78,75.3,1.52,CAN,North America,29.4,0,0
4084,4140,China,4,0.028908789,0.984833333,463.2,10.641,147.674,NA,15308.712,NA,50.62,48.2,-1.45,CHN,Asia,6.2,0,0
6950,7018,France,4,NA,0.04025,0.75,19.718,122.578,NA,38605.671,NA,5.56,68.2,1.18,FRA,Europe,21.6,0,0
7554,7648,Germany,4,NA,0.012,1,21.453,237.016,NA,45229.245,NA,5.56,66,1.42,DEU,Europe,22.3,0,0
10123,10223,Japan,4,NA,0.021333333,0.4,27.049,347.778,NA,39002.223,NA,2.78,59.8,1.02,JPN,Asia,4.3,0,0
12362,12392,Malaysia,4,NA,0.118,1.333333333,6.293,96.254,0.0005,26808.164,NA,11.11,62.2,-0.08,MYS,Asia,15.6,0,0
12965,12967,Mexico,4,NA,NA,NA,6.857,66.444,0.031142857,17336.469,NA,0,57.6,-0.01,MEX,North America,28.9,0,0
14018,14120,Nepal,4,NA,0.033,0.333333333,5.809,204.43,NA,2442.804,NA,8.33,20.8,-0.13, , ,4.1,0,0
17910,18017,Singapore,4,NA,0.5676,1,12.922,7915.731,NA,85535.383,NA,25,58.7,-0.06,SGP,Asia,6.1,0,0
18674,18779,South Korea,4,NA,0.041833333,0.6,13.914,527.967,NA,35938.374,NA,0,70.2,-2.2,KOR,Asia,4.7,0,0
19131,19234,Sri Lanka,4,NA,0.046,1,10.069,341.955,NA,11669.077,NA,2.78,33.9,0.01,LKA,Asia,5.2,0,0
19891,19994,Taiwan,4,NA,0.118666667,0.8,NA,NA,0.009857143,NA,NA,18.515,NA,0.98,TWN,Asia,NA,0,0
20341,20444,Thailand,4,NA,0.081666667,0.8,11.373,135.132,0.003714286,16277.671,NA,0,73.2,-1.01,THA,Asia,10,0,0
21851,21915,United States,4,NA,0.008,0.8,15.413,35.608,NA,54225.446,NA,0,83.5,1.04,USA,North America,36.2,0,0
22454,22517,Vietnam,4,NA,0.02,0.4,7.15,308.127,NA,6171.884,NA,1.668,49.1,-1.45, , ,2.1,0,0
607,618,Argentina,5,NA,NA,NA,11.198,16.177,0.013166667,18933.907,NA,11.11,58.6,0.57,ARG,South America,28.3,0,0
762,784,Armenia,5,NA,NA,NA,11.232,102.931,0.002,8787.58,NA,NA,50.2,-0.11,ARM,Asia,20.2,0,0
918,1032,Australia,5,NA,0.354571429,1,15.504,3.202,NA,44648.71,NA,9.922857143,75.5,1.43,AUS,Oceania,20.1,0,0
3174,3270,Cambodia,5,NA,0.06,0,4.412,90.672,NA,3645.07,NA,0,39.2,-1.22, , ,3.9,0,0
3480,3487,Canada,5,NA,0.104,0.142857143,16.984,4.037,0,44017.591,NA,2.78,75.3,1.52,CAN,North America,29.4,0,0
4085,4135,China,5,0.021959058,7.778857143,2404.285714,10.641,147.674,NA,15308.712,NA,73.08142857,48.2,-1.45,CHN,Asia,6.2,0,0
5287,5375,Denmark,5,NA,NA,NA,19.677,136.52,0,46682.515,NA,0,70.4,1.61,DNK,Europe,19.7,0,0
6795,6797,Finland,5,NA,0.18,0.166666667,21.228,18.136,NA,40585.721,NA,5.56,68.7,1.61,FIN,Europe,22.2,0,0
6951,6971,France,5,NA,0.077857143,0.428571429,19.718,122.578,NA,38605.671,NA,5.56,68.2,1.18,FRA,Europe,21.6,0,0
7555,7577,Germany,5,NA,0.080571429,1.571428571,21.453,237.016,NA,45229.245,NA,5.56,66,1.42,DEU,Europe,22.3,0,0
8906,8990,India,5,NA,0.0012,0.6,5.989,450.419,NA,6426.674,NA,10.19,46.5,0.38,IND,Asia,3.9,0,0
9819,9967,Italy,5,NA,0.034,0.5,23.021,205.859,NA,35220.084,NA,19.44,56.2,1.05,ITA,Europe,19.9,0,0
10124,10234,Japan,5,NA,0.115,2.285714286,27.049,347.778,NA,39002.223,NA,5.158571429,59.8,1.02,JPN,Asia,4.3,0,0
12363,12390,Malaysia,5,NA,0.214857143,0.571428571,6.293,96.254,0.007571429,26808.164,NA,17.06,62.2,-0.08,MYS,Asia,15.6,0,0
12966,12994,Mexico,5,NA,NA,NA,6.857,66.444,0.041857143,17336.469,NA,0,57.6,-0.01,MEX,North America,28.9,0,0
14019,14161,Nepal,5,NA,0.033,0,5.809,204.43,0,2442.804,NA,13.89,20.8,-0.13, , ,4.1,0,0
16126,16212,Philippines,5,0.5,0.0122,0.4,4.803,351.873,NA,7599.188,NA,17.774,47.6,0.04,PHL,Asia,6.4,0,0
17007,17095,Russia,5,NA,0.014,0.5,14.178,8.823,NA,24765.954,NA,8.33,44.3,-1.06,RUS,Europe,23.1,0,0
17911,18028,Singapore,5,NA,2.255428571,1.857142857,12.922,7915.731,NA,85535.383,NA,25,58.7,-0.06,SGP,Asia,6.1,0,0
18216,18221,Slovenia,5,NA,NA,NA,19.062,102.619,0.001,31400.84,NA,0,67.2,0.99,SVN,Europe,20.2,0,0
18675,18708,South Korea,5,NA,0.179,1.571428571,13.914,527.967,NA,35938.374,NA,7.672857143,70.2,-2.2,KOR,Asia,4.7,0,0
18976,19052,Spain,5,NA,0.021,0.333333333,19.436,93.105,NA,34272.36,NA,11.11,65.9,1.06,ESP,Europe,23.8,0,0
19132,19245,Sri Lanka,5,NA,0.046,0,10.069,341.955,NA,11669.077,NA,8.33,33.9,0.01,LKA,Asia,5.2,0,0
19436,19552,Sweden,5,NA,0.095,0.333333333,19.985,24.718,NA,46949.283,NA,5.56,72.1,1.61,SWE,Europe,20.6,0,0
19892,19924,Taiwan,5,NA,0.389,0.714285714,NA,NA,0.037857143,NA,NA,22.61714286,NA,0.98,TWN,Asia,NA,0,0
20342,20455,Thailand,5,NA,0.235,1.571428571,11.373,135.132,0.012428571,16277.671,NA,0,73.2,-1.01,THA,Asia,10,0,0
21541,21684,United Arab Emirates,5,NA,0.459333333,0.833333333,1.144,112.442,0.018,67293.483,NA,2.78,46.7,-1.11,ARE,Asia,31.7,0,0
21696,21769,United Kingdom,5,0.5625,0.05225,2,18.517,272.898,NA,39753.244,NA,8.888,77.9,1.38,GBR,Europe,27.8,0,0
21852,21926,United States,5,NA,0.022285714,0.857142857,15.413,35.608,NA,54225.446,NA,1.588571429,83.5,1.04,USA,North America,36.2,0,0
22455,22528,Vietnam,5,NA,0.040428571,0.857142857,7.15,308.127,NA,6171.884,NA,23.41285714,49.1,-1.45, , ,2.1,0,0
608,701,Argentina,6,NA,NA,NA,11.198,16.177,0.014,18933.907,NA,11.11,58.6,0.57,ARG,South America,28.3,0,0
763,891,Armenia,6,NA,NA,NA,11.232,102.931,0.0128,8787.58,NA,NA,50.2,-0.11,ARM,Asia,20.2,0,0
919,920,Australia,6,NA,0.545857143,0.428571429,15.504,3.202,NA,44648.71,NA,19.44,75.5,1.43,AUS,Oceania,20.1,0,0
1828,1956,Belgium,6,NA,0.086,0.142857143,18.571,375.564,NA,42658.576,NA,11.11,61,1.4,BEL,Europe,22.1,0,0
3175,3308,Cambodia,6,NA,0.06,0,4.412,90.672,NA,3645.07,NA,0,39.2,-1.22, , ,3.9,0,0
3481,3520,Canada,6,NA,0.185714286,0.714285714,16.984,4.037,0.002,44017.591,NA,2.78,75.3,1.52,CAN,North America,29.4,0,0
4086,4116,China,6,0.02162878,23.503,3230.428571,10.641,147.674,NA,15308.712,NA,77.04571429,48.2,-1.45,CHN,Asia,6.2,0,0
5288,5346,Denmark,6,NA,NA,NA,19.677,136.52,NA,46682.515,NA,0,70.4,1.61,DNK,Europe,19.7,0,0
6492,6506,Estonia,6,NA,NA,NA,19.452,31.033,0.0015,29481.252,NA,0,57,1.21,EST,Europe,21.2,0,0
6796,6841,Finland,6,NA,0.18,0,21.228,18.136,NA,40585.721,NA,11.51,68.7,1.61,FIN,Europe,22.2,0,0
6952,7080,France,6,NA,0.119714286,0.714285714,19.718,122.578,NA,38605.671,NA,5.56,68.2,1.18,FRA,Europe,21.6,0,0
7556,7687,Germany,6,NA,0.154285714,0.285714286,21.453,237.016,NA,45229.245,NA,5.56,66,1.42,DEU,Europe,22.3,0,0
8907,9042,India,6,NA,0.002,0,5.989,450.419,NA,6426.674,NA,10.19,46.5,0.38,IND,Asia,3.9,0,0
9820,9857,Italy,6,NA,0.043714286,0.142857143,23.021,205.859,NA,35220.084,NA,19.44,56.2,1.05,ITA,Europe,19.9,0,0
10125,10277,Japan,6,NA,0.190428571,0.857142857,27.049,347.778,0,39002.223,NA,19.44,59.8,1.02,JPN,Asia,4.3,0,0
12364,12469,Malaysia,6,NA,0.429428571,1.428571429,6.293,96.254,0.024571429,26808.164,NA,19.44,62.2,-0.08,MYS,Asia,15.6,0,0
12967,13100,Mexico,6,NA,NA,NA,6.857,66.444,0.051571429,17336.469,NA,0,57.6,-0.01,MEX,North America,28.9,0,0
13420,13472,Morocco,6,NA,NA,NA,6.769,80.08,0,7485.013,NA,8.3325,43.7,-0.66,MAR,Africa,26.1,0,0
14020,14155,Nepal,6,NA,0.033,0,5.809,204.43,0.0005,2442.804,NA,16.67,20.8,-0.13, , ,4.1,0,0
16127,16223,Philippines,6,0.404761905,0.022142857,0.142857143,4.803,351.873,NA,7599.188,NA,22.61714286,47.6,0.04,PHL,Asia,6.4,0,0
17008,17106,Russia,6,NA,0.014,0,14.178,8.823,NA,24765.954,NA,8.33,44.3,-1.06,RUS,Europe,23.1,0,0
17912,17999,Singapore,6,NA,5.778142857,3.857142857,12.922,7915.731,NA,85535.383,NA,28.17714286,58.7,-0.06,SGP,Asia,6.1,0,0
18217,18342,Slovenia,6,NA,NA,NA,19.062,102.619,0.004,31400.84,NA,0,67.2,0.99,SVN,Europe,20.2,0,0
18520,18643,South Africa,6,NA,NA,NA,5.344,46.754,0.001,12294.876,NA,2.78,54.8,0.66,ZAF,Africa,28.3,0,0
18676,18719,South Korea,6,NA,0.435571429,1.714285714,13.914,527.967,0.024,35938.374,NA,31.48,70.2,-2.2,KOR,Asia,4.7,0,0
18977,19103,Spain,6,NA,0.027,0.142857143,19.436,93.105,NA,34272.36,NA,11.11,65.9,1.06,ESP,Europe,23.8,0,0
19133,19256,Sri Lanka,6,NA,0.046,0,10.069,341.955,NA,11669.077,NA,8.33,33.9,0.01,LKA,Asia,5.2,0,0
19437,19564,Sweden,6,NA,0.095,0,19.985,24.718,NA,46949.283,NA,5.56,72.1,1.61,SWE,Europe,20.6,0,0
19893,19935,Taiwan,6,NA,0.639571429,1.142857143,NA,NA,0.074,NA,NA,30.56,NA,0.98,TWN,Asia,NA,0,0
20343,20466,Thailand,6,NA,0.390571429,1.857142857,11.373,135.132,0.031142857,16277.671,NA,0,73.2,-1.01,THA,Asia,10,0,0
21542,21695,United Arab Emirates,6,NA,0.635571429,0.428571429,1.144,112.442,0.201333333,67293.483,NA,2.78,46.7,-1.11,ARE,Asia,31.7,0,0
21697,21780,United Kingdom,6,0.193746729,0.160714286,0.857142857,18.517,272.898,NA,39753.244,NA,11.11,77.9,1.38,GBR,Europe,27.8,0,0
21853,21937,United States,6,NA,0.034428571,0.142857143,15.413,35.608,NA,54225.446,NA,5.56,83.5,1.04,USA,North America,36.2,0,0
22456,22539,Vietnam,6,NA,0.110428571,0.857142857,7.15,308.127,NA,6171.884,NA,32.27428571,49.1,-1.45, , ,2.1,0,0
609,698,Argentina,7,NA,NA,NA,11.198,16.177,0.014,18933.907,NA,11.11,58.6,0.57,ARG,South America,28.3,0,0
764,907,Armenia,7,NA,NA,NA,11.232,102.931,0.0235,8787.58,NA,NA,50.2,-0.11,ARM,Asia,20.2,0,0
920,981,Australia,7,NA,0.573,0,15.504,3.202,NA,44648.71,NA,19.44,75.5,1.43,AUS,Oceania,20.1,0,0
1829,1857,Belgium,7,NA,0.086,0,18.571,375.564,NA,42658.576,NA,11.11,61,1.4,BEL,Europe,22.1,0,0
3176,3200,Cambodia,7,NA,0.06,0,4.412,90.672,NA,3645.07,NA,0,39.2,-1.22, , ,3.9,0,0
3482,3530,Canada,7,NA,0.237714286,0.142857143,16.984,4.037,0.003,44017.591,NA,2.78,75.3,1.52,CAN,North America,29.4,0,0
4087,4155,China,7,0.024420028,42.71085714,4294,10.641,147.674,NA,15308.712,NA,75.46,48.2,-1.45,CHN,Asia,6.2,0,0
5289,5304,Denmark,7,NA,NA,NA,19.677,136.52,0.0005,46682.515,NA,0,70.4,1.61,DNK,Europe,19.7,0,0
5892,5928,Egypt,7,NA,0.009,0.25,5.159,97.999,NA,10550.206,NA,0,39.9,-1.28,EGY,Africa,32,0,0
6493,6559,Estonia,7,NA,NA,NA,19.452,31.033,0.002,29481.252,NA,0,57,1.21,EST,Europe,21.2,0,0
6797,6908,Finland,7,NA,0.361,0.142857143,21.228,18.136,NA,40585.721,NA,13.89,68.7,1.61,FIN,Europe,22.2,0,0
6953,7089,France,7,0.083333333,0.168428571,0.142857143,19.718,122.578,NA,38605.671,NA,5.56,68.2,1.18,FRA,Europe,21.6,0,0
7557,7707,Germany,7,NA,0.192,0.285714286,21.453,237.016,NA,45229.245,NA,10.31714286,66,1.42,DEU,Europe,22.3,0,0
8010,8122,Guatemala,7,NA,NA,NA,4.694,157.834,0,7423.808,NA,11.11,32.7,-0.34,GTM,North America,21.2,0,0
8908,9054,India,7,NA,0.002,0,5.989,450.419,NA,6426.674,NA,10.19,46.5,0.38,IND,Asia,3.9,0,0
9821,9881,Italy,7,NA,0.051,0,23.021,205.859,NA,35220.084,NA,19.44,56.2,1.05,ITA,Europe,19.9,0,0
10126,10175,Japan,7,0.020733881,0.359714286,5.857142857,27.049,347.778,0.001428571,39002.223,NA,19.44,59.8,1.02,JPN,Asia,4.3,0,0
11177,11227,Latvia,7,NA,NA,NA,19.754,31.212,NA,25063.846,NA,2.78,62.9,0.81,LVA,Europe,23.6,0,0
12365,12412,Malaysia,7,NA,0.584857143,0.571428571,6.293,96.254,0.055714286,26808.164,NA,19.44,62.2,-0.08,MYS,Asia,15.6,0,0
12968,12964,Mexico,7,NA,NA,NA,6.857,66.444,0.062428571,17336.469,NA,0,57.6,-0.01,MEX,North America,28.9,0,0
13421,13430,Morocco,7,NA,NA,NA,6.769,80.08,0,7485.013,NA,0,43.7,-0.66,MAR,Africa,26.1,0,0
14021,14069,Nepal,7,NA,0.033,0,5.809,204.43,0.001,2442.804,NA,16.67,20.8,-0.13, , ,4.1,0,0
14923,15030,Norway,7,NA,NA,NA,16.821,14.462,NA,64800.057,NA,11.11,64.6,1.73,NOR,Europe,23.1,0,0
16128,16130,Philippines,7,0.333333333,0.026,0,4.803,351.873,NA,7599.188,NA,25,47.6,0.04,PHL,Asia,6.4,0,0
17009,17117,Russia,7,NA,0.014,0,14.178,8.823,NA,24765.954,NA,8.33,44.3,-1.06,RUS,Europe,23.1,0,0
17913,18050,Singapore,7,NA,11.303,4.571428571,12.922,7915.731,NA,85535.383,NA,30.56,58.7,-0.06,SGP,Asia,6.1,0,0
18218,18355,Slovenia,7,NA,NA,NA,19.062,102.619,0.006,31400.84,NA,0,67.2,0.99,SVN,Europe,20.2,0,0
18521,18614,South Africa,7,NA,NA,NA,5.344,46.754,0.001,12294.876,NA,2.78,54.8,0.66,ZAF,Africa,28.3,0,0
18677,18690,South Korea,7,NA,0.548428571,0.428571429,13.914,527.967,0.107,35938.374,NA,31.48,70.2,-2.2,KOR,Asia,4.7,0,0
18978,19074,Spain,7,NA,0.042,0,19.436,93.105,NA,34272.36,NA,11.11,65.9,1.06,ESP,Europe,23.8,0,0
19134,19267,Sri Lanka,7,NA,0.046,0,10.069,341.955,NA,11669.077,NA,8.33,33.9,0.01,LKA,Asia,5.2,0,0
19438,19534,Sweden,7,NA,0.095,0,19.985,24.718,NA,46949.283,NA,5.56,72.1,1.61,SWE,Europe,20.6,0,0
19894,19891,Taiwan,7,0.047727273,0.789,0.571428571,NA,NA,0.120571429,NA,NA,30.56,NA,0.98,TWN,Asia,NA,0,0
20344,20477,Thailand,7,NA,0.468,0.428571429,11.373,135.132,0.039714286,16277.671,NA,0,73.2,-1.01,THA,Asia,10,0,0
21543,21679,United Arab Emirates,7,NA,0.877285714,0.142857143,1.144,112.442,0.4255,67293.483,NA,2.78,46.7,-1.11,ARE,Asia,31.7,0,0
21698,21791,United Kingdom,7,0.116368126,0.256142857,0.714285714,18.517,272.898,NA,39753.244,NA,11.11,77.9,1.38,GBR,Europe,27.8,0,0
21854,21948,United States,7,NA,0.040142857,0.285714286,15.413,35.608,NA,54225.446,NA,5.56,83.5,1.04,USA,North America,36.2,0,0
22457,22550,Vietnam,7,NA,0.160142857,0.285714286,7.15,308.127,NA,6171.884,NA,43.78285714,49.1,-1.45, , ,2.1,0,0
1,36,Afghanistan,8,NA,0.122,5,2.581,54.422,NA,1803.987,NA,8.33,32.3,-0.99,AFG,Asia,5.5,0,0
610,640,Argentina,8,NA,NA,NA,11.198,16.177,0.014,18933.907,NA,11.11,58.6,0.57,ARG,South America,28.3,0,0
765,806,Armenia,8,NA,NA,NA,11.232,102.931,0.026,8787.58,NA,NA,50.2,-0.11,ARM,Asia,20.2,0,0
921,978,Australia,8,NA,0.573,0,15.504,3.202,NA,44648.71,NA,19.44,75.5,1.43,AUS,Oceania,20.1,0,0
1375,1479,Bahrain,8,NA,0.679,1,2.372,1935.907,NA,43290.705,NA,25,39.4,-1.41,BHR,Asia,29.8,0,0
1830,1925,Belgium,8,NA,0.086,0,18.571,375.564,NA,42658.576,NA,11.11,61,1.4,BEL,Europe,22.1,0,0
3177,3223,Cambodia,8,NA,0.06,0,4.412,90.672,NA,3645.07,NA,0,39.2,-1.22, , ,3.9,0,0
3483,3490,Canada,8,NA,0.330571429,0.857142857,16.984,4.037,0.005,44017.591,NA,2.78,75.3,1.52,CAN,North America,29.4,0,0
3932,3941,Chile,8,NA,0.102,1,11.087,24.282,NA,22767.037,NA,0,58.3,1.05,CHL,South America,28,0,0
4088,4094,China,8,0.030271077,53.11657143,684,10.641,147.674,NA,15308.712,NA,75.46,48.2,-1.45,CHN,Asia,6.2,0,0
5290,5384,Denmark,8,NA,NA,NA,19.677,136.52,0.00125,46682.515,NA,0,70.4,1.61,DNK,Europe,19.7,0,0
5893,5900,Egypt,8,NA,0.009,0,5.159,97.999,NA,10550.206,NA,0,39.9,-1.28,EGY,Africa,32,0,0
6494,6584,Estonia,8,NA,NA,NA,19.452,31.033,0.003,29481.252,NA,0,57,1.21,EST,Europe,21.2,0,0
6798,6824,Finland,8,NA,0.412428571,0.142857143,21.228,18.136,NA,40585.721,NA,13.89,68.7,1.61,FIN,Europe,22.2,0,0
6954,7060,France,8,0.083333333,0.177,0,19.718,122.578,NA,38605.671,NA,5.56,68.2,1.18,FRA,Europe,21.6,0,0
7558,7695,Germany,8,NA,0.192,0,21.453,237.016,NA,45229.245,NA,11.11,66,1.42,DEU,Europe,22.3,0,0
8011,8047,Guatemala,8,NA,NA,NA,4.694,157.834,NA,7423.808,NA,11.11,32.7,-0.34,GTM,North America,21.2,0,0
8909,8969,India,8,NA,0.002,0,5.989,450.419,NA,6426.674,NA,10.19,46.5,0.38,IND,Asia,3.9,0,0
9212,9326,Iran,8,0.363926912,0.2955,10.16666667,5.44,49.831,NA,19082.62,NA,6.481666667,37.7,-1.32,IRN,Asia,25.8,0,0
9364,9423,Iraq,8,NA,0.022,1,3.186,88.125,NA,15663.986,NA,19.44,25.8,-0.99,IRQ,Asia,30.4,0,0
9667,9725,Israel,8,NA,0.106,0.25,11.733,402.606,0.01,33132.32,NA,19.44,47.3,0.65,ISR,Asia,26.1,0,0
9822,9879,Italy,8,0.033045147,1.149428571,32.28571429,23.021,205.859,0.073,35220.084,NA,35.97714286,56.2,1.05,ITA,Europe,19.9,0,0
10127,10186,Japan,8,0.018325286,0.941571429,13.28571429,27.049,347.778,0.005142857,39002.223,NA,23.41142857,59.8,1.02,JPN,Asia,4.3,0,0
10728,10799,Kuwait,8,NA,0.234,1,2.345,232.128,NA,65530.537,NA,13.89,46.1,-0.59,KWT,Asia,37.9,0,0
11329,11386,Lebanon,8,NA,0.182,0.25,8.514,594.561,NA,13367.565,NA,8.33,43.1,-0.5,LBN,Asia,32,0,0
12366,12423,Malaysia,8,NA,0.648,0,6.293,96.254,0.082428571,26808.164,NA,19.44,62.2,-0.08,MYS,Asia,15.6,0,0
12969,12971,Mexico,8,NA,NA,NA,6.857,66.444,0.071714286,17336.469,NA,0,57.6,-0.01,MEX,North America,28.9,0,0
13422,13451,Morocco,8,NA,NA,NA,6.769,80.08,0,7485.013,NA,0,43.7,-0.66,MAR,Africa,26.1,0,0
14022,14080,Nepal,8,NA,0.033,0,5.809,204.43,0.0058,2442.804,NA,16.67,20.8,-0.13, , ,4.1,0,0
15075,15209,Oman,8,NA,0.437,2,2.355,14.98,NA,37960.709,NA,19.44,43.1,-1.03,OMN,Asia,27,0,0
16129,16164,Philippines,8,0.333333333,0.026,0,4.803,351.873,NA,7599.188,NA,25,47.6,0.04,PHL,Asia,6.4,0,0
17010,17158,Russia,8,NA,0.014,0,14.178,8.823,NA,24765.954,NA,8.33,44.3,-1.06,RUS,Europe,23.1,0,0
17914,17977,Singapore,8,NA,15.12928571,1.714285714,12.922,7915.731,NA,85535.383,NA,30.56,58.7,-0.06,SGP,Asia,6.1,0,0
18219,18325,Slovenia,8,NA,NA,NA,19.062,102.619,0.0135,31400.84,NA,0,67.2,0.99,SVN,Europe,20.2,0,0
18522,18652,South Africa,8,NA,NA,NA,5.344,46.754,0.002,12294.876,NA,2.78,54.8,0.66,ZAF,Africa,28.3,0,0
18678,18809,South Korea,8,0.008721773,6.170142857,114.7142857,13.914,527.967,0.335,35938.374,NA,41.53428571,70.2,-2.2,KOR,Asia,4.7,0,0
18979,19085,Spain,8,NA,0.042,0,19.436,93.105,NA,34272.36,NA,11.11,65.9,1.06,ESP,Europe,23.8,0,0
19135,19156,Sri Lanka,8,NA,0.046,0,10.069,341.955,0,11669.077,NA,8.727142857,33.9,0.01,LKA,Asia,5.2,0,0
19439,19461,Sweden,8,NA,0.095,0,19.985,24.718,NA,46949.283,NA,5.56,72.1,1.61,SWE,Europe,20.6,0,0
19895,19917,Taiwan,8,0.039510024,1.070285714,1.142857143,NA,NA,0.275714286,NA,NA,30.56,NA,0.98,TWN,Asia,NA,0,0
20345,20475,Thailand,8,NA,0.488,0,11.373,135.132,0.053285714,16277.671,NA,0,73.2,-1.01,THA,Asia,10,0,0
21544,21552,United Arab Emirates,8,NA,1.134714286,0.571428571,1.144,112.442,1.017333333,67293.483,NA,3.572857143,46.7,-1.11,ARE,Asia,31.7,0,0
21699,21802,United Kingdom,8,0.102958059,0.349142857,1.571428571,18.517,272.898,NA,39753.244,NA,11.11,77.9,1.38,GBR,Europe,27.8,0,0
21855,21959,United States,8,NA,0.044428571,0.285714286,15.413,35.608,NA,54225.446,NA,5.56,83.5,1.04,USA,North America,36.2,0,0
22458,22561,Vietnam,8,NA,0.163,0,7.15,308.127,NA,6171.884,NA,47.22,49.1,-1.45, , ,2.1,0,0
2,104,Afghanistan,9,NA,0.122,0,2.581,54.422,NA,1803.987,NA,13.88714286,32.3,-0.99,AFG,Asia,5.5,0,0
153,197,Albania,9,NA,NA,NA,13.188,104.871,0.007142857,11803.431,NA,8.33,52.9,0.21,ALB,Europe,21.7,0,0
304,406,Algeria,9,NA,0.028428571,0.428571429,6.211,17.348,NA,13913.839,NA,0,23.6,-0.98,DZA,Africa,27.4,0,0
611,607,Argentina,9,NA,NA,NA,11.198,16.177,0.015,18933.907,NA,11.11,58.6,0.57,ARG,South America,28.3,0,0
766,843,Armenia,9,NA,0.36,0.5,11.232,102.931,0.038857143,8787.58,NA,NA,50.2,-0.11,ARM,Asia,20.2,0,0
922,948,Australia,9,0.035185185,0.774857143,2.142857143,15.504,3.202,NA,44648.71,NA,19.44,75.5,1.43,AUS,Oceania,20.1,0,0
1073,1211,Austria,9,NA,0.367714286,1.5,19.202,106.749,NA,45436.686,NA,11.11,58.5,1.38,AUT,Europe,29,0,0
1224,1282,Azerbaijan,9,NA,0.29,1.5,6.018,119.309,NA,15847.419,NA,19.44,34.2,-1.5,AZE,Asia,19.9,0,0
1376,1449,Bahrain,9,NA,25.423,6.857142857,2.372,1935.907,NA,43290.705,NA,29.76571429,39.4,-1.41,BHR,Asia,29.8,0,0
1677,1772,Belarus,9,NA,0.105,0.25,14.799,46.858,NA,17167.967,NA,0,35.3,-1.35,BLR,Europe,24.5,0,0
1831,1975,Belgium,9,NA,0.184,1,18.571,375.564,0.0205,42658.576,NA,11.11,61,1.4,BEL,Europe,22.1,0,0
2577,2669,Brazil,9,NA,0.007,0.333333333,8.552,25.04,NA,14103.452,NA,6.485,59.7,0.39,BRA,South America,22.1,0,0
3178,3325,Cambodia,9,NA,0.06,0,4.412,90.672,NA,3645.07,NA,0,39.2,-1.22, , ,3.9,0,0
3484,3488,Canada,9,NA,0.761428571,4.142857143,16.984,4.037,0.0108,44017.591,NA,2.78,75.3,1.52,CAN,North America,29.4,0,0
3933,3994,Chile,9,NA,0.204,1,11.087,24.282,NA,22767.037,NA,0,58.3,1.05,CHL,South America,28,0,0
4089,4162,China,9,0.035358463,55.31885714,410.5714286,10.641,147.674,NA,15308.712,NA,81.02,48.2,-1.45,CHN,Asia,6.2,0,0
