,X,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,SI,GHSI,WGI,ï..iso_code,continent,Obesity_rate,Vaccinationph2,Count
13226,13228,Moldova,115,0.02235606,153337.2,667.8571,10.864,123.655,NA,5189.972,63.20167,38.04857,42.9,-0.11,MDA,Europe,18.9,63.20167,0
2385,2406,Bosnia and Herzegovina,115,0.0416295,114776.7,221.5714,16.569,68.496,NA,11713.9,NA,36.11,42.8,-0.24,BIH,Europe,17.9,59.53,0
13677,13637,Mozambique,115,0.009741764,6826.14,14.42857,3.158,37.728,39.5395,1136.103,NA,37.96,28.1,-0.47, , ,7.2,57.83,0
2532,2497,Botswana,115,0.009922334,100349.8,185.4286,3.941,4.044,NA,15807.37,54.08,13.89,31.1,0.47,BWA,Africa,18.9,54.08,0
18629,18549,South Africa,115,0.02703394,61351.07,1711.286,5.344,46.754,388.813,12294.88,52.59,40.74,54.8,0.66,ZAF,Africa,28.3,52.59,0
11874,11836,Libya,115,0.01266474,72560.86,794.5714,4.424,3.623,NA,17881.51,48.826,44.66857,25.7,-1.52,LBY,Africa,32.5,48.826,0
23006,22918,Zimbabwe,115,0.02281139,14489.45,362.2857,2.822,42.729,129.7453,1899.775,48.36286,53.28,38.2,-1.13,ZWE,Africa,15.5,48.36286,0
10078,10038,Jamaica,115,0.02197645,45269.49,44.14286,9.684,266.879,301.6944,8193.571,48.10333,61.40714,29,0.62,JAM,North America,24.7,48.10333,0
558,571,Angola,115,0.01924084,2774.06,6.428571,2.405,23.89,41.35,5819.495,46.74,64.30857,25.2,-0.92,AGO,Africa,8.2,46.74,0
10983,10999,Kyrgyzstan,115,0.01474856,30240.52,28.14286,4.489,32.333,NA,3393.474,41.33429,36.11,49.3,-0.37,KGZ,Asia,16.6,41.33429,0
12769,12666,Mauritania,115,0.01669452,12379.99,2.428571,3.138,4.289,192.888,3597.633,NA,47.24571,27.5,-0.85,MRT,Africa,12.7,40.9,0
8267,8219,Guinea,115,0.01208948,2626.046,0.5714286,3.135,51.755,NA,1998.926,39.67,57.6,32.7,-0.75,GIN,Africa,7.7,39.67,0
7814,7839,Ghana,115,0.009037922,4766.145,129.1429,3.385,126.719,70.89,4227.63,37.75,50.29286,35.5,0.58,GHA,Africa,10.9,37.75,0
9471,9486,Iraq,115,0.01085076,51753.42,1132.571,3.186,88.125,412.298,15663.99,37.72,56.31429,25.8,-0.99,IRQ,Asia,30.4,37.72,0
11576,11620,Lesotho,115,0.02133735,14149.19,15.42857,4.506,73.562,NA,2851.153,NA,34.16,30.2,0.08, , ,16.6,37.21,0
21346,21353,Uganda,115,0.02196685,3456.072,29.14286,2.168,213.759,53.61833,1697.707,35.29,46.16,44.3,-0.67, , ,5.3,35.29,0
4793,4713,Cote d'Ivoire,115,0.009730182,2893.562,16.14286,2.933,76.399,51.47967,3601.006,NA,21.3,35.5,-0.22,CIV,Africa,10.3,33.94,0
13973,14004,Namibia,115,0.02549101,61246.3,25.42857,3.552,3.078,376.9663,9541.808,31.73,28.7,35.6,0.49, , ,17.2,31.73,0
10683,10700,Kenya,115,0.0174613,5977.529,29,2.686,87.324,63.568,2993.028,30.87571,51.76143,47.1,-0.36,KEN,Africa,7.1,30.87571,0
410,370,Algeria,115,0.0258011,5899.97,75.28571,6.211,17.348,NA,13913.84,NA,53.57,23.6,-0.98,DZA,Africa,27.4,30.36,0
20750,20675,Togo,115,0.007391247,4158.835,5,2.839,143.366,79.93214,1429.813,NA,43.52,32.5,-0.74,TGO,Africa,8.4,28.43,0
6297,6233,Equatorial Guinea,115,0.01147802,9481.84,1.142857,2.846,45.194,283.609,22604.87,27.68,NA,16.2,-1.86,GNQ,Africa,8,27.68,0
8414,8426,Guinea-Bissau,115,0.02082144,3802.685,7.857143,3.002,66.191,NA,1548.675,26.44,NA,20,-0.67, , ,9.5,26.44,0
7210,7232,Gabon,115,0.006374232,19897.53,3.285714,4.45,7.859,670.442,16562.41,NA,48.26,20,-0.95,GAB,Africa,15,22.84,0
